frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
105.3,W287DC,PA,TITUSVILLE,0.25,41.61672222222222,-79.69200000000001,80.0,D,WUZZ RADIO,"Southern Belle Media Family, LLC",USA,Classic Hits,Pirates,Steelers,,Penguins,,
105.5,W288EJ,NY,DUNKIRK,0.25,42.367222222222225,-79.3863888888889,88.0,D,CLASSIC HITS 1410 WDOE,CHADWICK BAY BROADCASTING CORPORATION,USA,Classic Hits,,Bills,,Sabres,,
105.7,W289BR,MD,CUMBERLAND,0.1,39.58119444444445,-78.89944444444446,37.0,D,WTBO 97.9-1450 OLDIES,Forever Media,USA,Oldies,Orioles,,,Penguins,,
105.9,W290AT,NY,PLATTSBURGH,0.073,44.709472222222225,-73.46677777777778,42.0,D,THE GAME 97.1-105.9-960,"VOX AM/FM, LLC",USA,Sports,Red Sox,Patriots,Celtics,Bruins,Burlington-Plattsburgh,"344,900"
106.1,W291DI,NY,BATAVIA,0.25,42.97705555555556,-77.99286111111111,20.0,D,100.1 WBTA,"MAJIC TONES COMMUNICATIONS, LLC",USA,Soft AC,,,,Sabres,"Rochester, NY","1,000,500"
106.3,W292ED,TN,FRANKLIN,0.25,35.92225,-86.71283333333334,97.5,D,102.5 THE GAME,"THE CROMWELL GROUP, INC.",USA,Sports,,,,Predators,Nashville,"1,563,200"
106.3,W292ET,PA,LANCASTER,0.08,40.016777777777776,-76.33747222222222,44.0,D,TEMPLE UNIVERSITY PUBLIC RADIO,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED,USA,Classical,,,,Predators,Lancaster,"472,200"
106.5,W293BH,VT,SPRINGFIELD,0.25,43.31527777777777,-72.46275,32.6,D,REWIND 106.5,"Sugar River Media, LLC",USA,Adult Contemporary,Red Sox,,,Bruins,Lebanon-Hanover-White River Junction,"162,400"
106.7,W294CF,MD,FROSTBURG,0.25,39.58119444444445,-78.89944444444446,44.0,D,WILLIE 106.7/560,Forever Media,USA,Country,,,,Penguins,,
106.7,W294CV,TN,TULLAHOMA,0.25,35.36408333333333,-86.20305555555557,27.0,D,THUNDER 107.9 & 1320,"COFFEE COUNTY BROADCASTING, INC.",USA,Talk,Braves,Titans,,Predators,,
107.1,W296BV,IL,NEWTON,0.25,38.90252777777778,-88.1511388888889,10.0,D,INFINITY SPORTS NETWORK,"V.L.N. BROADCASTING, INC.",USA,Sports,Cardinals,,,Blues,,
107.5,W298BX,NC,WINTERVILLE,0.25,35.537749999999996,-77.41811111111112,91.0,D,ESPN,CTC MEDIA GROUP,USA,Sports,,,Hornets,Hurricanes,Greenville-New Bern-Jacksonville,"601,000"
107.5,W298CW,PA,BUTLER,0.25,40.8745,-79.90283333333333,86.0,D,WISR 680 AM/107.5 FM,"St. Barnabas Broadcasting, Inc.",USA,Talk,Pirates,Steelers,,Penguins,Pittsburgh,"1,998,700"
107.5,W298DG,NC,BRIDGETON,0.15,35.13922222222222,-77.07761111111111,167.7,D,FOX SPORTS 107.5 FM/1490 AM,CTC MEDIA GROUP,USA,Sports,Nationals,,Hornets,Hurricanes,Greenville-New Bern-Jacksonville,"601,000"
107.7,W299BE,MI,BIG RAPIDS,0.25,43.663916666666665,-85.482,93.0,D,NEWSRADIO 1460-107.7 WBRN,"MENTOR PARTNERS, INC.",USA,Talk,Tigers,Lions,,Red Wings,,
107.7,W299BY,TN,COOKEVILLE,0.25,36.142833333333336,-85.46719444444444,44.0,D,107.7 GRACE FM,"COOKEVILLE COMMUNICATIONS, LLC",USA,Contemporary Christian,,,,Predators,,
107.9,W300BL,TN,MANCHESTER,0.25,35.467555555555556,-86.09497222222221,50.0,D,THUNDER 107.9 & 1320,"COFFEE COUNTY BROADCASTING, INC.",USA,Talk,Braves,Titans,,Predators,,
107.9,W300BR,PA,DU BOIS,0.25,41.10311111111111,-78.76030555555556,50.0,D,SUNNY 106.5,"PRIORITY COMMUNICATIONS, INC.",USA,Adult Contemporary,,,,Penguins,,
97.5,WBBA-FM,IL,PITTSFIELD,10.0,39.60666666666667,-90.83666666666666,54.0,B1,WBBA 97.5 FM,"GBI COMMUNICATIONS, LLC",USA,News,Cardinals,,,Blues,,
99.1,WBGN,KY,BEAVER DAM,1.0,37.3605,-86.80397222222221,69.0,A,SAM FM,,USA,Classic Hits,,,,Predators,,
97.1,WBNS-FM,OH,COLUMBUS,20.5,39.97116666666667,-83.02766666666666,264.0,B,SPORTS RADIO 97.1 THE FAN,"RADIOHIO, INCORPORATED",USA,Sports,,Browns,,Blue Jackets,"Columbus, OH","1,763,300"
98.5,WBZ-FM,MA,BOSTON,9.0,42.30758333333333,-71.22363888888889,363.0,B,THE SPORTS HUB,"BEASLEY MEDIA GROUP LICENSES, LLC",USA,Sports,,Patriots,Celtics,Bruins,Boston,"4,463,500"
106.3,WCDK,OH,CADIZ,2.7,40.25394444444444,-80.8428611111111,113.0,A,THE RIVER,"OHIO MIDLAND NEWSGROUP, LLC",USA,Classic Rock,,,,Penguins,,
99.9,WCMC-FM,NC,HOLLY SPRINGS,26.5,35.67655555555555,-78.53527777777778,198.0,C2,99.9 THE FAN,"WCMC-FM, LLC",USA,Sports,,Panthers,,Hurricanes,Raleigh-Durham,"1,694,400"
96.5,WCMF-FM,NY,ROCHESTER,48.0,43.13483333333333,-77.58488888888888,71.6,B,ROCHESTER'S CLASSIC ROCK 96-5 WCMF,"Audacy License, LLC",USA,Classic Rock,,Bills,,Sabres,"Rochester, NY","1,000,500"
101.3,WCPV,NY,ESSEX,1.0,44.40530555555556,-73.4315,12.0,A,101.3 THE WOLF,"VOX AM/FM, LLC",USA,Country,,,Celtics,Bruins,Burlington-Plattsburgh,"344,900"
100.3,WCTH,FL,PLANTATION KEY,100.0,24.95986111111111,-80.57477777777777,140.0,C1,THUNDER COUNTRY 100.3,Fiorini Keys Media LLC,USA,Country,,,,Florida Panthers,,
96.7,WCXO,IL,CARLYLE,2.1,38.64005555555555,-89.3778611111111,150.0,A,MAX 96-7,"Better Newspapers, Inc.",USA,Adult Hits,,,,Blues,St. Louis,"2,360,800"
106.5,WDSN,PA,REYNOLDSVILLE,6.0,41.144777777777776,-78.87780555555555,41.0,A,SUNNY 106.5,"PRIORITY COMMUNICATIONS, INC.",USA,Adult Contemporary,,,,Penguins,,
93.5,WEEY,NH,SWANZEY,2.0,42.91591666666667,-72.33063888888888,22.0,A,WEEI SPORS RADIO NETWORK,"Great Eastern Radio, LLC",USA,Sports,Red Sox,,Celtics,Bruins,,
107.5,WEGW,WV,WHEELING,16.0,40.06147222222222,-80.75230555555555,195.0,B,EAGLE 107.5,iHeartMedia,USA,Rock,,Steelers,,Penguins,Wheeling,"120,000"
92.9,WEZQ,ME,BANGOR,20.0,44.75977777777778,-68.56475,36.0,B,92.9 THE TICKET,"Townsquare License, LLC",USA,Sports,Red Sox,,Celtics,Bruins,Bangor,"171,400"
101.1,WGRY-FM,MI,ROSCOMMON,3.4,44.570861111111114,-84.69252777777778,59.0,A,UP NORTH SPORTS,"BLARNEY STONE BROADCASTING, INC.",USA,Sports,Tigers,,,Red Wings,,
102.5,WHPT,FL,SARASOTA,100.0,27.408666666666665,-82.24980555555555,495.0,C,102-5 THE BONE,"Cox Radio, LLC",USA,Talk,,,,Lightning,Sarasota-Bradenton,"779,800"
106.3,WHXR,ME,SCARBOROUGH,3.0,43.58952777777778,-70.372,71.0,A,106.3 THE BONE,"WBIN MEDIA CO., INC.",USA,Classic Rock,,,,Bruins,"Portland, ME","612,700"
106.7,WJFK-FM,VA,MANASSAS,20.0,38.87455555555555,-77.22330555555556,202.0,B,106.7 THE FAN,"Audacy License, LLC",USA,Sports,Nationals,,,Capitals,"Washington, DC","5,099,200"
96.7,WLLF,PA,MERCER,1.4,41.312,-80.27727777777778,130.0,A,SPORTS RADIO 96.7,Cumulus Media,USA,Sports,Pirates,,,Penguins,,
96.1,WMAX-FM,MI,HOLLAND,50.0,42.819472222222224,-85.86919444444443,119.0,B,96.1 THE GAME,iHeartMedia,USA,Sports,,,Pistons,Red Wings,Grand Rapids,"822,900"
97.7,WMLQ,MI,MANISTEE,2.5,44.21111111111112,-86.29813888888889,149.0,A,NEWS 97 AND 98,"SYNERGY LAKESHORE LICENSES, LLC",USA,News,Tigers,,,Red Wings,Traverse City-Petoskey-Cadillac,"238,300"
101.7,WMRR,MI,MUSKEGON HEIGHTS,12.0,43.27722222222222,-86.33477777777777,144.0,B1,TOTAL ROCK 101.7,iHeartMedia,USA,Classic Rock,,,,Red Wings,Muskegon,"149,900"
104.3,WNAE,PA,CLARENDON,4.7,41.813944444444445,-79.16752777777778,44.0,A,KINZUA COUNTRY 104,LILLY BROADCASTING OF PENNSYLVANIA LLC,USA,Country,Pirates,Steelers,,Penguins,,
99.5,WNGE,MI,NEGAUNEE,50.0,46.51416666666667,-87.48277777777778,78.0,C2,93.1 KROCK,"MARQUETTE RADIO, LLC",USA,Rock,,,,Red Wings,,
94.1,WOTT,NY,CALCIUM,21.5,43.966722222222224,-75.80269444444444,46.0,C3,94 ROCK,"COMMUNITY BROADCASTERS, LLC",USA,Rock,,Bills,,Sabres,Watertown,"91,800"
97.5,WPEN,NJ,BURLINGTON,26.0,40.08261111111111,-75.18100000000001,148.0,B,97.5 THE FANATIC,"BEASLEY MEDIA GROUP LICENSES, LLC",USA,Sports,,,76ers,Flyers,Philadelphia,"4,756,000"
103.1,WQFX-FM,PA,RUSSELL,2.5,41.96338888888889,-79.16141666666667,54.0,A,ROCK 103,"MEDIA ONE HOLDINGS, LLC",USA,Classic Rock,,Browns,,Sabres,,
92.5,WQMU,PA,INDIANA,3.0,40.63811111111111,-79.1461388888889,29.0,A,U 92,THE ST PIER GROUP LLC,USA,Hot AC,,,,Penguins,,
98.3,WQRS,NY,SALAMANCA,3.2,42.10894444444445,-78.60752777777778,107.0,A,THE G.O.A.T. 96.3-98.3-98.7 FM,"Southern Belle, LLC",USA,Classic Rock,,,,Sabres,Olean,"159,200"
92.7,WQTK,NY,OGDENSBURG,3.0,44.70588888888889,-75.46494444444444,104.0,A,TALK 92.7,"COMMUNITY BROADCASTERS, LLC",USA,Talk,,Bills,,Sabres,,
103.9,WRCN-FM,NY,RIVERHEAD,1.4,40.852333333333334,-72.76483333333333,86.0,A,LI NEWS RADIO,"JVC MEDIA LLC, A FLORIDA  LLC COMPANY",USA,News,,,,Islanders,Nassau-Suffolk,"2,564,000"
88.7,WRHU,NY,HEMPSTEAD,0.47,40.71758333333334,-73.60288888888888,55.0,A,,HOFSTRA UNIVERSITY,USA,Variety,,,,Islanders,Nassau-Suffolk,"2,564,000"
107.7,WTPL,NH,HILLSBORO,1.25,43.154777777777774,-71.79505555555555,34.0,A,THE PULSE OF NH,"WBIN MEDIA CO., INC.",USA,News,Red Sox,,,Bruins,Concord,"252,500"
94.9,WUPZ,MI,CHOCOLAY TOWNSHIP,100.0,46.51430555555555,-87.47797222222222,99.0,C1,94.9 THE BAY,"AMC PARTNERS ESCANABA, LLC",USA,Contemporary Hit Radio,,Packers,,Red Wings,,
103.7,WVEI-FM,RI,WESTERLY,37.0,41.57316666666667,-71.63227777777777,91.0,B,WEEI SPORTS RADIO NETWORK,"Audacy License, LLC",USA,Sports,Red Sox,,,Bruins,Providence-Warwick-Pawtucket,"1,469,100"
105.5,WWEI,MA,EASTHAMPTON,0.72,42.24147222222222,-72.64869444444444,12.0,A,WEEI SPORTS RADIO NETWORK,"Audacy License, LLC",USA,Sports,Red Sox,,,Bruins,"Springfield, MA","560,500"
94.1,WWKR,MI,HART,5.0,43.67611111111111,-86.23897222222222,143.6,C3,K-ROCK 94.1,"SYNERGY LAKESHORE LICENSES, LLC",USA,Classic Rock,,,,Red Wings,,
105.9,WXDX-FM,PA,PITTSBURGH,15.5,40.493944444444445,-80.01894444444444,161.0,B,THE X AT 105.9,iHeartMedia,USA,Rock,,,,Penguins,Pittsburgh,"1,998,700"
101.1,WXOS,IL,EAST ST. LOUIS,100.0,38.48227777777778,-90.39816666666668,290.4,C1,101 ESPN SPORT TALK,"St. Louis FCC License Sub, LLC",USA,Sports,,,,Blues,St. Louis,"2,360,800"
95.1,WXTK,MA,WEST YARMOUTH,50.0,41.63538888888889,-70.23475,82.0,B,NEWSRADIO 95,iHeartMedia,USA,News,,Patriots,,Bruins,Cape Cod,"213,500"
97.1,WXYT-FM,MI,DETROIT,15.0,42.48280555555556,-83.20519444444444,277.0,B,97.1 THE TICKET,"Audacy License, LLC",USA,Sports,Tigers,,Pistons,Red Wings,Detroit,"3,868,800"
